  location                           N.1
         i                           127
         j                           328
  Num_Cell                          5729
    633600                       101.944
    635400                       102.061
    637200                       102.179
    639000                       102.296
    640800                       102.414
    642600                       102.531
    644400                       102.649
    646200                       102.766
    648000                       102.884
    649800                       103.002
    651600                       103.119
    653400                       103.237
    655200                       103.354
    657000                       103.472
    658800                       103.589
    660600                       103.707
    662400                       103.824
    664200                       103.942
    666000                       104.059
    667800                       104.177
    669600                       104.294
    671400                       104.412
    673200                       104.530
    675000                       104.647
    676800                       104.765
    678600                       104.882
    680400                       105.000
    682200                       105.117
    684000                       105.235
    685800                       105.352
    687600                       105.470
    689400                       105.587
    691200                       105.705
    693000                       106.198
    694800                       106.691
    696600                       107.184
    698400                       107.677
    700200                       108.170
    702000                       108.662
    703800                       109.155
    705600                       109.648
    707400                       110.141
    709200                       110.634
    711000                       111.127
    712800                       111.620
    714600                       112.113
    716400                       112.606
    718200                       113.099
    720000                       113.592
    721800                       114.084
    723600                       114.577
    725400                       115.070
    727200                       115.563
    729000                       116.056
    730800                       116.549
    732600                       117.042
    734400                       117.535
    736200                       118.028
    738000                       118.521
    739800                       119.014
    741600                       119.507
    743400                       119.999
    745200                       120.492
    747000                       120.985
    748800                       121.478
    750600                       121.971
    752400                       122.464
    754200                       122.957
    756000                       123.450
    757800                       123.943
    759600                       124.436
    761400                       124.929
    763200                       125.421
    765000                       125.914
    766800                       126.407
    768600                       126.900
    770400                       127.393
    772200                       127.886
    774000                       128.379
    775800                       128.872
    777600                       129.365
    779400                       129.715
    781200                       130.064
    783000                       130.414
    784800                       130.764
    786600                       131.114
    788400                       131.464
    790200                       131.813
    792000                       132.163
    793800                       132.513
    795600                       132.863
    797400                       133.213
    799200                       133.562
    801000                       133.912
    802800                       134.262
    804600                       134.612
    806400                       134.962
    808200                       135.311
    810000                       135.661
    811800                       136.011
    813600                       136.361
    815400                       136.711
    817200                       137.060
    819000                       137.410
    820800                       137.760
    822600                       138.110
    824400                       138.460
    826200                       138.809
    828000                       139.159
    829800                       139.509
    831600                       139.859
    833400                       140.209
    835200                       140.558
    837000                       140.908
    838800                       141.258
    840600                       141.608
    842400                       141.958
    844200                       142.307
    846000                       142.657
    847800                       143.007
    849600                       143.357
    851400                       143.707
    853200                       144.056
    855000                       144.406
    856800                       144.756
    858600                       145.106
    860400                       145.456
    862200                       145.806
    864000                       146.155
    865800                       146.444
    867600                       146.732
    869400                       147.020
    871200                       147.309
    873000                       147.597
    874800                       147.885
    876600                       148.174
    878400                       148.462
    880200                       148.750
    882000                       149.039
    883800                       149.327
    885600                       149.615
    887400                       149.904
    889200                       150.192
    891000                       150.480
    892800                       150.769
    894600                       151.057
    896400                       151.345
    898200                       151.634
    900000                       151.922
    901800                       152.210
    903600                       152.498
    905400                       152.787
    907200                       153.075
    909000                       153.363
    910800                       153.652
    912600                       153.940
    914400                       154.228
    916200                       154.517
    918000                       154.805
    919800                       155.093
    921600                       155.382
    923400                       155.670
    925200                       155.958
    927000                       156.247
    928800                       156.535
    930600                       156.823
    932400                       157.112
    934200                       157.400
    936000                       157.688
    937800                       157.977
    939600                       158.265
    941400                       158.553
    943200                       158.842
    945000                       159.130
    946800                       159.418
    948600                       159.707
    950400                       159.995
    952200                       160.511
    954000                       161.027
    955800                       161.542
    957600                       162.058
    959400                       162.574
    961200                       163.090
