Datetime,P00001,P00002,P00003,P00004,P00005,P00006,P00007,P00008,P00009,P00010,P00011,P00012,P00013,P00014,P00015,P00016
202507170010,645.08053,645.08053,645.08053,645.08053,645.08053,645.08053,645.08053,645.08053,645.08053,645.08053,645.08053,645.08053,645.08053,645.08053,645.08053,645.08053
202507170020,649.21101,649.17442,649.17438,649.1574,649.17671,649.17442,649.23848,649.1574,649.1574,649.17442,649.1574,649.17442,649.17442,649.15719,649.15803,649.24537
202507170030,653.37635,653.24869,653.2487,653.19727,653.25658,653.24869,653.44445,653.19734,653.19775,653.24868,653.19775,653.24868,653.24868,653.19671,653.20485,653.45923
202507170040,657.57174,657.29843,657.298,657.1956,657.31618,657.29846,657.6925,657.19626,657.19917,657.29834,657.19917,657.29834,657.29834,657.19418,657.22407,657.71454
202507170050,661.79202,661.3169,661.31588,661.1481,661.34976,661.31706,661.97652,661.15082,661.15912,661.31635,661.15912,661.31635,661.31635,661.14359,661.21413,662.00401
202507170100,666.03298,665.30127,665.2992,665.05377,665.35301,665.30178,666.2925,665.0609,665.07792,665.29947,665.07792,665.2995,665.2995,665.04163,665.17452,666.32384
202507170110,670.2946,669.25273,669.24748,668.91656,669.32492,669.2541,670.6402,668.93068,668.95993,669.24801,668.95993,669.24797,669.24797,668.88898,669.10646,670.67408
202507170120,674.57944,673.17647,673.16607,672.74394,673.2694,673.17864,675.02273,672.76819,672.81185,673.16682,672.81185,673.16653,673.16653,672.69063,673.01588,675.0576
202507170130,678.8923,677.07936,677.06144,676.54685,677.19138,677.08279,679.44437,676.58374,676.64372,677.06235,676.64372,677.06128,677.06128,676.45423,676.90989,679.47819
202507170140,683.23743,680.96767,680.93996,680.33522,681.09702,680.97337,683.90913,680.38722,680.46509,680.9395,680.46509,680.93847,680.93847,680.18778,680.79457,683.9401
202507170150,687.61738,684.84536,684.80557,684.11876,684.9899,684.85433,688.41982,684.18768,684.28459,684.80291,684.28459,684.80106,684.80106,683.89805,684.67355,688.44503
202507170200,692.03209,688.71383,688.65908,687.90376,688.8703,688.72714,692.9775,687.9907,688.10788,688.65383,688.10788,688.65005,688.65005,687.58963,688.54757,692.99224
202507170210,696.47932,692.5728,692.49883,691.69424,692.73488,692.59084,697.57894,691.79756,691.93711,692.4918,691.93711,692.48295,692.48295,691.26402,692.415,697.57681
202507170220,700.9551,696.42116,696.32197,695.48983,696.57872,696.44192,702.22084,695.60607,695.77153,696.31507,695.77153,696.29431,696.29431,694.92058,696.27359,702.19256
202507170230,705.45441,700.25716,700.12536,699.28485,700.39448,700.27533,706.89683,699.40935,699.60573,700.12156,699.60573,700.07317,700.07317,698.55611,700.11854,706.83096
202507170240,709.97109,704.07763,703.90658,703.06915,704.17479,704.08596,711.60004,703.19682,703.43152,703.90767,703.43152,703.80584,703.80584,702.16618,703.94359,711.48305
202507170250,714.49788,707.87915,707.66363,706.82603,707.9132,707.86824,716.32101,706.95657,707.23809,707.66884,707.23809,707.47866,707.47866,705.74481,707.74237,716.13901
202507170300,719.02456,711.65696,711.39465,710.5354,711.60517,711.61768,721.04929,710.6731,711.01152,711.39989,711.01152,711.07955,711.07955,709.28728,711.50886,720.78864
202507170310,723.53972,715.40559,715.09631,714.18042,715.2471,715.33141,725.77371,714.33061,714.73514,715.09504,714.73514,714.60098,714.60098,712.78876,715.24045,725.42139
202507170320,728.02808,719.12006,718.76494,717.74948,718.83738,719.0076,730.48388,717.91538,718.39271,718.74933,718.39271,718.04006,718.04006,716.24378,718.93685,730.02792
202507170330,732.47423,722.79451,722.39334,721.24116,722.37552,722.64262,735.16985,721.41948,721.97188,722.35871,721.97188,721.40013,721.40013,719.64783,722.59823,734.60061
202507170340,736.86437,726.42518,725.97319,724.66091,725.86116,726.23387,739.82317,724.84366,725.46921,725.91948,725.46921,724.69073,724.69073,722.99576,726.22534,739.13385
202507170350,741.18881,730.00662,729.49565,728.01826,729.29455,729.77677,744.43609,728.19327,728.88789,729.4306,728.88789,727.92611,727.92611,726.28185,729.81607,743.62392
202507170400,745.44511,733.53224,732.95249,731.32132,732.6754,733.26686,749.00138,731.47787,732.23763,732.89075,732.23763,731.12273,731.12273,729.50124,733.3657,748.06826
202507170410,749.63485,736.99221,736.33855,734.57379,736.00176,736.69831,753.51273,734.70413,735.53008,736.29938,735.53008,734.29499,734.29499,732.64954,736.86517,752.46405
202507170420,753.76118,740.37303,739.65188,737.77368,739.26965,740.0682,757.96436,737.87556,738.77612,739.65441,738.77612,737.45519,737.45519,735.724,740.30152,756.80779
202507170430,757.82716,743.66119,742.89214,740.91788,742.47388,743.37514,762.35433,740.99066,741.98372,742.95323,741.98372,740.61045,740.61045,738.72199,743.65878,761.09722
202507170440,761.83591,746.84377,746.05791,744.00466,745.60984,746.61988,766.68226,744.04346,745.1562,746.19045,745.1562,743.76259,743.76259,741.64226,746.92376,765.33097
202507170450,765.79356,749.91548,749.14342,747.03579,748.675,749.80393,770.95052,747.02656,748.29299,749.36072,748.29299,746.90752,746.90752,744.48431,750.0901,769.50874
202507170500,769.70719,752.87675,752.14096,750.01444,751.67061,752.92423,775.16322,749.93565,751.3912,752.45904,751.3912,750.03406,750.03406,747.24924,753.16035,773.63086
202507170510,773.58305,755.73585,755.04309,752.94412,754.6007,755.97321,779.32507,752.77285,754.44641,755.48189,754.44641,753.12582,753.12582,749.94022,756.14405,777.69934
202507170520,777.42571,758.50606,757.84854,755.82196,757.46949,758.94173,783.43469,755.54707,757.45172,758.42652,757.45172,756.16549,756.16549,752.56125,759.05397,781.71622
202507170530,781.23562,761.20251,760.56143,758.63756,760.27951,761.82282,787.48502,758.26941,760.39771,761.29043,760.39771,759.13714,759.13714,755.11536,761.90019,785.6832
202507170540,785.00955,763.839,763.19126,761.37393,763.02914,764.61701,791.46502,760.95312,763.27145,764.06923,763.27145,762.03166,762.03166,757.60526,764.68928,789.601
202507170550,788.74184,766.42661,765.74724,764.017,765.7129,767.33149,795.36453,763.60892,766.05975,766.75887,766.05975,764.84468,764.84468,760.03156,767.42183,793.46903
202507170600,792.42419,768.97362,768.23682,766.56142,768.3227,769.97863,799.18048,766.24313,768.75362,769.35427,768.75362,767.57426,767.57426,762.39293,770.09312,797.28667
202507170610,796.04909,771.48635,770.66309,769.01157,770.84771,772.57018,802.92005,768.85342,771.3514,771.85421,771.3514,770.21756,770.21756,764.68504,772.69275,801.05279
