Datetime,WtMean
202208290010,1.0502576923076923
202208290020,1.0504192036416486
202208290030,1.0505665706464198
202208290040,1.05069816535998
202208290050,1.0508128175700069
202208290100,1.0509102288187706
202208290110,1.0509903804534
202208290120,1.0510535591397283
202208290130,1.0511003412005067
202208290140,1.0511314722914742
202208290150,1.0511476921836884
202208290200,1.0511498061571696
202208290210,1.0511385597017608
202208290220,1.0511148138996584
202208290230,1.0510792710261896
202208290240,1.0510326916020114
202208290250,1.0509757728945064
202208290300,1.0509091888963722
202208290310,1.0508335816091354
202208290320,1.0507496292619731
202208290330,1.0506578360820502
202208290340,1.0505588131786183
202208290350,1.0504530132900944
202208290400,1.0503408269223906
202208290410,1.0502226087219555
202208290420,1.0500987602021699
202208290430,1.04996951156518
202208290440,1.0498349919419816
202208290450,1.04969552189908
202208290500,1.0495511689597108
202208290510,1.0494021484779235
202208290520,1.0492485029027798
202208290530,1.0490903401887075
202208290540,1.0489278542524076
202208290550,1.048761112883698
202208290600,1.0485903091468227
202208290610,1.048415604444254
202208290620,1.0482370979702518
202208290630,1.0480551030278753
202208290640,1.04786980211848
202208290650,1.047681458238046
202208290700,1.0474904732301311
202208290710,1.047297071397068
202208290720,1.0471013074916273
202208290730,1.0469035672183529
202208290740,1.0467043439499748
202208290750,1.0465040164814954
202208290800,1.0463029088816667
202208290810,1.0461012268279979
202208290820,1.045899801789998
202208290830,1.0456989575763662
202208290840,1.0454993988641195
202208290850,1.0453017003945853
202208290900,1.045106247815552
202208290910,1.044913509573147
202208290920,1.044723793944099
202208290930,1.0445375600387736
202208290940,1.0443551141355
202208290950,1.0441768207400721
202208291000,1.0440029133578859
202208291010,1.0438337296244617
202208291020,1.0436694562301159
202208291030,1.0435103403804638
202208291040,1.0433565351940834
202208291050,1.0432082113653591
202208291100,1.0430655089191885
202208291110,1.042928414277176
202208291120,1.0427970319274713
202208291130,1.0426710406236346
202208291140,1.0425508648395347
202208291150,1.0424364736510512
202208291200,1.0423278481078495
202208291210,1.0422249405185182
202208291220,1.0421276764183687
202208291230,1.04203586510974
202208291240,1.0419494998242018
202208291250,1.0418684385601316
202208291300,1.0417925090473883
202208291310,1.041721520848911
202208291320,1.0416553889796554
202208291330,1.0415938437797663
202208291340,1.0415368358610455
202208291350,1.041484006174894
202208291400,1.0414352744397892
202208291410,1.041390352322327
202208291420,1.0413491386422526
202208291430,1.0413113271921848
202208291440,1.0412766977790153
202208291450,1.0412450673326834
202208291500,1.0412162364265232
202208291510,1.0411899315521929
202208291520,1.0411659505292938
202208291530,1.041143991499596
202208291540,1.041123690705455
202208291550,1.0411050829420758
202208291600,1.0410878865730993
202208291610,1.0410719855709611
202208291620,1.041057003260821
202208291630,1.0410428429954952
202208291640,1.0410292756044037
202208291650,1.0410160316485564
202208291700,1.0410030035069826
202208291710,1.040989900427481
202208291720,1.0409765972648013
202208291730,1.0409628425254616
202208291740,1.0409485454463256
202208291750,1.0409334148493823
202208291800,1.0409173462330479
202208291810,1.0409001027827964
202208291820,1.040881563462897
202208291830,1.040861552828073
202208291840,1.0408397590229028
202208291850,1.0408162529515834
202208291900,1.0407908347533865
202208291910,1.0407633732151915
202208291920,1.0407337578212856
202208291930,1.040701882346517
202208291940,1.0406675611061933
202208291950,1.0406308072298787
202208292000,1.0405913310329298
202208292010,1.0405491111361889
202208292020,1.0405038200119825
202208292030,1.0404554905369081
202208292040,1.0404042193718808
202208292050,1.0403499825839324
202208292100,1.0402925621554322
202208292110,1.040232126787509
202208292120,1.040168589934215
202208292130,1.0401017297517594
202208292140,1.0400317071912208
202208292150,1.039956603849652
202208292200,1.03987803768022
202208292210,1.0397962237052274
202208292220,1.039711182425512
202208292230,1.039623012484772
202208292240,1.0395317540814093
202208292250,1.0394373975159965
202208292300,1.0393398390773787
202208292310,1.0392392670076234
202208292320,1.0391357784466368
202208292330,1.0390293098164838
202208292340,1.03892000489762
202208292350,1.0388078577496733
