  location                           N.1
         i                           127
         j                           328
  Num_Cell                          5729
    633600                         0.195
    635400                         0.195
    637200                         0.195
    639000                         0.195
    640800                         0.195
    642600                         0.195
    644400                         0.195
    646200                         0.195
    648000                         0.195
    649800                         0.195
    651600                         0.195
    653400                         0.195
    655200                         0.195
    657000                         0.195
    658800                         0.195
    660600                         0.195
    662400                         0.195
    664200                         0.195
    666000                         0.195
    667800                         0.195
    669600                         0.195
    671400                         0.195
    673200                         0.195
    675000                         0.195
    676800                         0.195
    678600                         0.195
    680400                         0.195
    682200                         0.195
    684000                         0.195
    685800                         0.195
    687600                         0.195
    689400                         0.195
    691200                         0.195
    693000                         0.280
    694800                         0.280
    696600                         0.280
    698400                         0.280
    700200                         0.280
    702000                         0.280
    703800                         0.280
    705600                         0.280
    707400                         0.280
    709200                         0.280
    711000                         0.280
    712800                         0.280
    714600                         0.280
    716400                         0.280
    718200                         0.280
    720000                         0.280
    721800                         0.280
    723600                         0.280
    725400                         0.280
    727200                         0.280
    729000                         0.280
    730800                         0.280
    732600                         0.280
    734400                         0.280
    736200                         0.280
    738000                         0.280
    739800                         0.280
    741600                         0.280
    743400                         0.280
    745200                         0.280
    747000                         0.280
    748800                         0.280
    750600                         0.280
    752400                         0.280
    754200                         0.280
    756000                         0.280
    757800                         0.280
    759600                         0.280
    761400                         0.280
    763200                         0.280
    765000                         0.280
    766800                         0.280
    768600                         0.280
    770400                         0.280
    772200                         0.280
    774000                         0.280
    775800                         0.280
    777600                         0.280
    779400                         0.351
    781200                         0.351
    783000                         0.351
    784800                         0.351
    786600                         0.351
    788400                         0.351
    790200                         0.351
    792000                         0.351
    793800                         0.351
    795600                         0.351
    797400                         0.351
    799200                         0.351
    801000                         0.351
    802800                         0.351
    804600                         0.351
    806400                         0.351
    808200                         0.351
    810000                         0.351
    811800                         0.351
    813600                         0.351
    815400                         0.351
    817200                         0.351
    819000                         0.351
    820800                         0.351
    822600                         0.351
    824400                         0.351
    826200                         0.351
    828000                         0.351
    829800                         0.351
    831600                         0.351
    833400                         0.351
    835200                         0.351
    837000                         0.351
    838800                         0.351
    840600                         0.351
    842400                         0.351
    844200                         0.351
    846000                         0.351
    847800                         0.351
    849600                         0.351
    851400                         0.351
    853200                         0.351
    855000                         0.351
    856800                         0.351
    858600                         0.351
    860400                         0.351
    862200                         0.351
    864000                         0.351
    865800                         0.197
    867600                         0.197
    869400                         0.197
    871200                         0.197
    873000                         0.197
    874800                         0.197
    876600                         0.197
