Datetime,P00001
202208060010,1.3734192382812498
202208060020,1.3705791015625
202208060030,1.3678227539062497
202208060040,1.3651513671874997
202208060050,1.362563671875
202208060100,1.36005712890625
202208060110,1.35762890625
202208060120,1.3552762695312501
202208060130,1.35299638671875
202208060140,1.35078671875
202208060150,1.3486447265625001
202208060200,1.34656826171875
202208060210,1.344555078125
202208060220,1.3426032226562503
202208060230,1.3407106445312502
202208060240,1.3388752929687502
202208060250,1.3370951171875003
202208060300,1.3353679687500002
202208060310,1.3336917968750002
202208060320,1.3320642578125002
202208060330,1.3304832031250002
202208060340,1.3289296626984126
202208060350,1.327411111111111
202208060400,1.3259329365079364
202208060410,1.3244930555555556
202208060420,1.3230892857142857
202208060430,1.321719742063492
202208060440,1.320382738095238
202208060450,1.3190764880952381
202208060500,1.3177997023809525
202208060510,1.3165510912698413
202208060520,1.315329761904762
202208060530,1.3141347222222224
202208060540,1.3129652777777778
202208060550,1.311821130952381
202208060600,1.3107016865079366
202208060610,1.3096069444444445
202208060620,1.3085367063492064
202208060630,1.3074907738095238
202208060640,1.3064691468253968
202208060650,1.3054717261904762
202208060700,1.3044983134920636
202208060710,1.3035488095238095
202208060720,1.3026228174603174
202208060730,1.3017199404761906
202208060740,1.3008395833333333
202208060750,1.2999809523809522
202208060800,1.2991431547619048
202208060810,1.2983251984126984
202208060820,1.297525992063492
202208060830,1.2967440476190475
202208060840,1.2959781746031744
202208060850,1.2952267857142856
202208060900,1.294488392857143
202208060910,1.293761507936508
202208060920,1.2930446428571427
202208060930,1.292336111111111
202208060940,1.2916347222222222
202208060950,1.2909390873015874
202208061000,1.2902479166666667
202208061010,1.2895602182539683
202208061020,1.288875
202208061030,1.2881914682539681
202208061040,1.2875089285714285
202208061050,1.2868268849206348
202208061100,1.2861451388888887
202208061110,1.2854633928571428
202208061120,1.2847815476190476
202208061130,1.2840997023809522
202208061140,1.2834181547619048
202208061150,1.282737103174603
202208061200,1.2820570436507934
202208061210,1.2813784722222221
202208061220,1.280701984126984
202208061230,1.2800282738095237
202208061240,1.2793489939637825
202208061250,1.2786736418511067
202208061300,1.2780034205231388
202208061310,1.2773392354124748
202208061320,1.27668199195171
202208061330,1.2760325955734406
202208061340,1.275392052313883
202208061350,1.2747612676056337
202208061400,1.274141348088531
202208061410,1.2735330985915492
202208061420,1.2729375251509054
202208061430,1.2723558350100603
202208061440,1.2717888329979878
202208061450,1.271237625754527
202208061500,1.2707032193158951
202208061510,1.2701867203219315
202208061520,1.2696890342052314
202208061530,1.2692111670020119
202208061540,1.2687543259557343
202208061550,1.2683195171026156
202208061600,1.2679076458752514
202208061610,1.2675199195171025
202208061620,1.267157444668008
202208061630,1.2668211267605634
202208061640,1.266512273641851
202208061650,1.2662317907444667
202208061700,1.2659808853118713
202208061710,1.2657606639839034
202208061720,1.2655721327967806
202208061730,1.2654165995975855
202208061740,1.2652951710261569
202208061750,1.2652088531187122
202208061800,1.265158953722334
202208061810,1.265146579476861
202208061820,1.2651728370221327
202208061830,1.2652389336016094
202208061840,1.2653460764587523
202208061850,1.2654952716297785
202208061900,1.2656879275653923
202208061910,1.265924949698189
202208061920,1.2662076458752516
202208061930,1.2665371227364184
202208061940,1.2669145875251508
202208061950,1.2673411468812876
202208062000,1.2678179074446678
202208062010,1.2683460764587524
202208062020,1.2689266599597584
202208062030,1.2695608651911467
202208062040,1.2702497987927563
202208062050,1.2709944668008049
202208062100,1.2717959758551307
202208062110,1.272655533199195
202208062120,1.2735740442655936
202208062130,1.2745525150905432
202208062140,1.2755922535211268
202208062150,1.2766939637826962
202208062200,1.277858953722334
202208062210,1.279088028169014
202208062220,1.280376984126984
202208062230,1.2817184523809524
202208062240,1.2831261904761904
202208062250,1.2846010912698413
202208062300,1.2861440476190475
202208062310,1.2877561507936508
202208062320,1.2894380952380953
202208062330,1.291190873015873
202208062340,1.2930154761904762
202208062350,1.2949126984126984
202208070000,1.2968834325396825
202208070010,1.2989284722222223
202208070020,1.3014574404761905
202208070030,1.3045256944444446
202208070040,1.308148115079365
202208070050,1.3123149801587302
202208070100,1.3170075396825396
202208070110,1.3222037698412699
202208070120,1.3278818452380952
202208070130,1.3339577148437503
202208070140,1.3404346679687502
202208070150,1.3473277343750003
202208070200,1.3546204101562502
202208070210,1.3622966796875
202208070220,1.3703411132812497
202208070230,1.37873818359375
202208070240,1.3873861003861003
202208070250,1.396337934362934
202208070300,1.4055941119691118
202208070310,1.4151416023166024
202208070320,1.4249692084942085
202208070330,1.435000380952381
202208070340,1.4452253333333331
202208070350,1.4557075238095238
202208070400,1.4664450476190474
202208070410,1.4774379047619048
202208070420,1.4885887947269305
202208070430,1.499964218455744
202208070440,1.5115922787193976
202208070450,1.5234693032015068
202208070500,1.5355154275092937
202208070510,1.5477040892193312
202208070520,1.5601048327137548
202208070530,1.5726983271375468
202208070540,1.5853911926605506
202208070550,1.5981323853211011
202208070600,1.610988990825688
202208070610,1.6239340366972477
202208070620,1.6368536231884057
202208070630,1.6497343297101446
202208070640,1.6626321557971013
202208070650,1.6755295289855072
202208070700,1.6883365350089767
202208070710,1.7010780071813285
202208070720,1.7137865350089765
202208070730,1.7264571813285454
202208070740,1.7389590265486725
202208070750,1.7513703539823011
202208070800,1.7637422123893807
202208070810,1.7760762831858408
202208070820,1.7883010526315792
202208070830,1.8004584210526318
202208070840,1.8125850877192984
202208070850,1.8246830701754386
202208070900,1.836672183708839
202208070910,1.8485715771230502
202208070920,1.8604468804159444
202208070930,1.8722988734835355
202208070940,1.8840855917667239
202208070950,1.8957709262435678
202208071000,1.9074346483704974
202208071010,1.9190771869639796
202208071020,1.9306922750424447
202208071030,1.9421772495755516
202208071040,1.9536449915110354
202208071050,1.9650977079796264
202208071100,1.976538285229202
202208071110,1.9878899159663863
202208071120,1.9992024369747898
202208071130,2.0105159663865546
202208071140,2.0218363025210078
202208071150,2.033138602329451
202208071200,2.044380449251248
202208071210,2.055651580698835
202208071220,2.066961064891847
202208071230,2.078318635607321
202208071240,2.089638550247117
202208071250,2.1010107084019767
202208071300,2.112463179571664
202208071310,2.1240079077429983
202208071320,2.1356016313213706
202208071330,2.1472525285481243
202208071340,2.159031647634584
202208071350,2.1709514681892337
202208071400,2.1829950726979
202208071410,2.1951145395799676
202208071420,2.207409450726979
