  location                           N.1
         i                           127
         j                           328
  Num_Cell                          5729
    633600                        78.602
    635400                        78.699
    637200                        78.797
    639000                        78.895
    640800                        78.992
    642600                        79.090
    644400                        79.187
    646200                        79.285
    648000                        79.383
    649800                        79.480
    651600                        79.578
    653400                        79.676
    655200                        79.773
    657000                        79.871
    658800                        79.969
    660600                        80.066
    662400                        80.164
    664200                        80.262
    666000                        80.359
    667800                        80.457
    669600                        80.555
    671400                        80.652
    673200                        80.750
    675000                        80.848
    676800                        80.945
    678600                        81.043
    680400                        81.141
    682200                        81.238
    684000                        81.336
    685800                        81.434
    687600                        81.531
    689400                        81.629
    691200                        81.726
    693000                        81.866
    694800                        82.006
    696600                        82.146
    698400                        82.286
    700200                        82.425
    702000                        82.565
    703800                        82.705
    705600                        82.845
    707400                        82.984
    709200                        83.124
    711000                        83.264
    712800                        83.404
    714600                        83.543
    716400                        83.683
    718200                        83.823
    720000                        83.963
    721800                        84.102
    723600                        84.242
    725400                        84.382
    727200                        84.522
    729000                        84.661
    730800                        84.801
    732600                        84.941
    734400                        85.081
    736200                        85.220
    738000                        85.360
    739800                        85.500
    741600                        85.640
    743400                        85.779
    745200                        85.919
    747000                        86.059
    748800                        86.199
    750600                        86.338
    752400                        86.478
    754200                        86.618
    756000                        86.758
    757800                        86.897
    759600                        87.037
    761400                        87.177
    763200                        87.317
    765000                        87.457
    766800                        87.596
    768600                        87.736
    770400                        87.876
    772200                        88.016
    774000                        88.155
    775800                        88.295
    777600                        88.435
    779400                        88.610
    781200                        88.786
    783000                        88.961
    784800                        89.136
    786600                        89.312
    788400                        89.487
    790200                        89.662
    792000                        89.838
    793800                        90.013
    795600                        90.189
    797400                        90.364
    799200                        90.539
    801000                        90.715
    802800                        90.890
    804600                        91.065
    806400                        91.241
    808200                        91.416
    810000                        91.591
    811800                        91.767
    813600                        91.942
    815400                        92.118
    817200                        92.293
    819000                        92.468
    820800                        92.644
    822600                        92.819
    824400                        92.994
    826200                        93.170
    828000                        93.345
    829800                        93.521
    831600                        93.696
    833400                        93.871
    835200                        94.047
    837000                        94.222
    838800                        94.397
    840600                        94.573
    842400                        94.748
    844200                        94.924
    846000                        95.099
    847800                        95.274
    849600                        95.450
    851400                        95.625
    853200                        95.800
    855000                        95.976
    856800                        96.151
    858600                        96.326
    860400                        96.502
    862200                        96.677
    864000                        96.853
    865800                        96.951
    867600                        97.050
    869400                        97.148
    871200                        97.247
    873000                        97.346
    874800                        97.444
    876600                        97.543
    878400                        97.641
    880200                        97.740
    882000                        97.838
    883800                        97.937
    885600                        98.036
    887400                        98.134
    889200                        98.233
    891000                        98.331
    892800                        98.430
    894600                        98.529
    896400                        98.627
    898200                        98.726
    900000                        98.824
    901800                        98.923
    903600                        99.022
    905400                        99.120
    907200                        99.219
    909000                        99.317
    910800                        99.416
    912600                        99.515
    914400                        99.613
    916200                        99.712
    918000                        99.810
    919800                        99.909
    921600                       100.007
    923400                       100.106
    925200                       100.205
    927000                       100.303
    928800                       100.402
    930600                       100.500
    932400                       100.599
    934200                       100.698
    936000                       100.796
    937800                       100.895
    939600                       100.993
    941400                       101.092
    943200                       101.191
    945000                       101.289
    946800                       101.388
    948600                       101.486
    950400                       101.585
    952200                       101.616
    954000                       101.647
    955800                       101.678
    957600                       101.709
    959400                       101.740
    961200                       101.771
    963000                       101.802
    964800                       101.832
    966600                       101.863
    968400                       101.894
    970200                       101.925
    972000                       101.956
    973800                       101.987
    975600                       102.018
    977400                       102.049
    979200                       102.080
    981000                       102.111
    982800                       102.142
    984600                       102.173
    986400                       102.204
    988200                       102.235
    990000                       102.266
    991800                       102.297
    993600                       102.328
    995400                       102.359
    997200                       102.390
    999000                       102.421
   1000800                       102.452
   1002600                       102.482
   1004400                       102.513
   1006200                       102.544
   1008000                       102.575
   1009800                       102.606
   1011600                       102.637
   1013400                       102.668
   1015200                       102.699
   1017000                       102.730
   1018800                       102.761
   1020600                       102.792
   1022400                       102.823
   1024200                       102.854
   1026000                       102.885
   1027800                       102.916
   1029600                       102.947
   1031400                       102.978
   1033200                       103.009
   1035000                       103.040
   1036800                       103.071
   1038600                       103.584
   1040400                       104.096
   1042200                       104.609
   1044000                       105.122
   1045800                       105.635
   1047600                       106.148
   1049400                       106.661
   1051200                       107.174
   1053000                       107.687
   1054800                       108.200
   1056600                       108.713
   1058400                       109.226
   1060200                       109.739
   1062000                       110.252
   1063800                       110.765
   1065600                       111.278
   1067400                       111.791
   1069200                       112.304
   1071000                       112.817
   1072800                       113.330
   1074600                       113.843
   1076400                       114.356
   1078200                       114.869
   1080000                       115.382
   1081800                       115.895
   1083600                       116.408
   1085400                       116.921
   1087200                       117.434
   1089000                       117.947
   1090800                       118.460
   1092600                       118.973
   1094400                       119.486
   1096200                       119.999
   1098000                       120.512
   1099800                       121.025
   1101600                       121.538
   1103400                       122.051
   1105200                       122.564
   1107000                       123.077
   1108800                       123.590
   1110600                       124.103
   1112400                       124.616
   1114200                       125.129
   1116000                       125.642
   1117800                       126.155
   1119600                       126.668
   1121400                       127.181
   1123200                       127.694
   1125000                       127.962
   1126800                       128.231
   1128600                       128.499
   1130400                       128.767
   1132200                       129.035
   1134000                       129.304
   1135800                       129.572
   1137600                       129.840
   1139400                       130.109
   1141200                       130.377
   1143000                       130.645
   1144800                       130.913
   1146600                       131.182
   1148400                       131.450
   1150200                       131.718
   1152000                       131.986
   1153800                       132.255
   1155600                       132.523
   1157400                       132.791
   1159200                       133.060
   1161000                       133.328
   1162800                       133.596
   1164600                       133.864
   1166400                       134.133
   1168200                       134.401
   1170000                       134.669
   1171800                       134.938
   1173600                       135.206
   1175400                       135.474
   1177200                       135.742
   1179000                       136.011
   1180800                       136.279
   1182600                       136.547
   1184400                       136.816
   1186200                       137.084
   1188000                       137.352
   1189800                       137.620
   1191600                       137.889
   1193400                       138.157
   1195200                       138.425
   1197000                       138.693
   1198800                       138.962
   1200600                       139.230
   1202400                       139.498
   1204200                       139.767
   1206000                       140.035
   1207800                       140.303
   1209600                       140.571
   1211400                       140.649
   1213200                       140.727
   1215000                       140.805
   1216800                       140.883
   1218600                       140.960
   1220400                       141.038
   1222200                       141.116
   1224000                       141.194
   1225800                       141.271
   1227600                       141.349
   1229400                       141.427
   1231200                       141.505
   1233000                       141.583
   1234800                       141.660
   1236600                       141.738
   1238400                       141.816
   1240200                       141.894
   1242000                       141.972
   1243800                       142.049
   1245600                       142.127
   1247400                       142.205
   1249200                       142.283
   1251000                       142.360
   1252800                       142.438
   1254600                       142.516
   1256400                       142.594
   1258200                       142.672
   1260000                       142.749
   1261800                       142.827
   1263600                       142.905
   1265400                       142.983
   1267200                       143.061
   1269000                       143.138
   1270800                       143.216
   1272600                       143.294
   1274400                       143.372
   1276200                       143.449
   1278000                       143.527
   1279800                       143.605
   1281600                       143.683
   1283400                       143.761
   1285200                       143.838
   1287000                       143.916
   1288800                       143.994
   1290600                       144.072
   1292400                       144.150
   1294200                       144.227
   1296000                       144.305
