Datetime,WtMean
202207310010,0.6004215189873419
202207310020,0.6013844458751613
202207310030,0.6023941556555197
202207310040,0.6034515241858007
202207310050,0.6045567261390912
202207310100,0.6057087635361206
202207310110,0.6069056540246479
202207310120,0.6081447628822894
202207310130,0.6094230396875231
202207310140,0.6107369576158548
202207310150,0.6120827831270712
202207310200,0.6134567363721344
202207310210,0.6148548629766204
202207310220,0.6162734996312493
202207310230,0.6177090813658841
202207310240,0.61915832238679
202207310250,0.6206181777493918
202207310300,0.6220859704231283
202207310310,0.6235592118572637
202207310320,0.6250357698360498
202207310330,0.6265138274893755
202207310340,0.6279918312455541
202207310350,0.629457690877496
202207310400,0.6309122678170853
202207310410,0.6323490645241585
202207310420,0.6337798567964137
202207310430,0.6352063489455243
202207310440,0.6366282622733893
202207310450,0.6380453276490361
202207310500,0.6394575525289512
202207310510,0.6408648341183747
202207310520,0.642267214646296
202207310530,0.6436647172063567
202207310540,0.6450572804534538
202207310550,0.6464449707450393
202207310600,0.6478275590581604
202207310610,0.6492049562649744
202207310620,0.6505768836005957
202207310630,0.6519429611930994
202207310640,0.6533027949960443
202207310650,0.654655796703106
202207310700,0.6560014166378025
202207310710,0.6573389495103257
202207310720,0.6586676522492272
202207310730,0.6599868117901797
202207310740,0.6612956245512078
202207310750,0.6625933006317407
202207310800,0.6638790815681959
202207310810,0.6651523221371212
202207310820,0.6664122590056907
202207310830,0.6676583578708474
202207310840,0.6688900469765756
202207310850,0.6701069629205408
202207310900,0.6713087041306849
202207310910,0.6724950628664936
202207310920,0.6736658775565019
202207310930,0.6748203222099514
202207310940,0.6759517803300528
202207310950,0.6770656872140896
202207311000,0.6781644867322723
202207311010,0.6792484215054869
202207311020,0.6803165755643712
202207311030,0.6813695059761313
202207311040,0.6824087125560581
202207311050,0.6834346144643308
202207311100,0.6844459306762789
202207311110,0.6854418682120329
202207311120,0.6864258036794701
202207311130,0.6873985059389252
202207311140,0.6883604467486779
202207311150,0.6893121159194796
202207311200,0.6902540644871605
202207311210,0.69118674131278
202207311220,0.6921106318749755
202207311230,0.6930261827470298
202207311240,0.6939338680537239
202207311250,0.6948340751981493
202207311300,0.6957272235055184
202207311310,0.6966134864390303
202207311320,0.6974933162218804
202207311330,0.6983672297834006
202207311340,0.699235586265785
202207311350,0.7000987634036798
202207311400,0.7009570293610276
202207311410,0.7018107282422117
202207311420,0.7026601740133833
202207311430,0.703505667415554
202207311440,0.7043475361885847
202207311450,0.7051860249594861
202207311500,0.7060214584780508
202207311510,0.7068541129282381
202207311520,0.7076842657178717
202207311530,0.7085121960875262
202207311540,0.7093382018937534
202207311550,0.710162570392554
202207311600,0.7109855953529901
202207311610,0.7118075422336689
202207311620,0.712628695648503
202207311630,0.7134494091881141
202207311640,0.7142699261348294
202207311650,0.7150905876693777
202207311700,0.7159117255416622
202207311710,0.7167335943711668
202207311720,0.7175565939379138
202207311730,0.7183810146954499
202207311740,0.7192072206312443
202207311750,0.7200326628260004
202207311800,0.7208565798585163
202207311810,0.7216810243998029
202207311820,0.7225080364711293
202207311830,0.7233386702977724
202207311840,0.72417327645441
202207311850,0.7250122180578723
202207311900,0.7258556830053187
202207311910,0.7267021309075348
202207311920,0.7275541426715033
202207311930,0.7284121298705543
202207311940,0.7292764945313968
202207311950,0.7301476741694095
202207312000,0.7310261280134864
202207312010,0.7319106409153223
202207312020,0.7328024927082442
202207312030,0.7337028618870385
202207312040,0.7346121291980844
202207312050,0.7355296470026349
202207312100,0.7364539075838111
202207312110,0.7373882456184988
202207312120,0.738333150004393
202207312130,0.7392889706340366
202207312140,0.7402560853639973
202207312150,0.7412349378568599
202207312200,0.7422258216765036
202207312210,0.7432291565168021
202207312220,0.7442452441814746
202207312230,0.7452744593121597
202207312240,0.7463168699327398
202207312250,0.7473730473633698
202207312300,0.7484432227090416
202207312310,0.7495276462428764
202207312320,0.7506265853437265
202207312330,0.7517402348486748
202207312340,0.7528688485498369
202207312350,0.7540125326577433
202208010000,0.7551715118674907
202208010010,0.7563458806447086
202208010020,0.7575399669112914
202208010030,0.7587547439292035
202208010040,0.7599908272800735
202208010050,0.7612486928914787
202208010100,0.7625288139115998
202208010110,0.7638315116900161
202208010120,0.7651560842637681
202208010130,0.7665010351274789
202208010140,0.7678661385563911
202208010150,0.7692549102397424
202208010200,0.7706627443822927
202208010210,0.7720898408453143
202208010220,0.7735392646709268
202208010230,0.7750112752186953
202208010240,0.7765050908272771
202208010250,0.7780158506148096
202208010300,0.7795429222993195
202208010310,0.7810894338536202
202208010320,0.7826554440059583
202208010330,0.7842404132609424
