Datetime,P00001
202507120000,1.056
202507120030,0.646
202507120100,0.646
202507120130,0.646
202507120200,0.646
202507120230,0.646
202507120300,0.646
202507120330,0.646
202507120400,0.646
202507120430,0.646
202507120500,0.646
202507120530,0.646
202507120600,0.646
202507120630,0.646
202507120700,0.646
202507120730,0.646
202507120800,0.646
202507120830,0.646
202507120900,0.646
202507120930,0.646
202507121000,0.646
202507121030,0.646
202507121100,0.646
202507121130,0.646
202507121200,0.646
202507121230,0.646
202507121300,0.646
202507121330,0.646
202507121400,0.646
202507121430,0.646
202507121500,0.646
202507121530,0.646
202507121600,0.646
202507121630,0.646
202507121700,0.646
202507121730,0.646
202507121800,0.646
202507121830,0.646
202507121900,0.646
202507121930,0.646
202507122000,0.646
202507122030,0.646
202507122100,0.646
202507122130,0.646
202507122200,0.646
202507122230,0.646
202507122300,0.646
202507122330,0.646
202507130000,0.646
202507130030,0.368
202507130100,0.368
202507130130,0.368
202507130200,0.368
202507130230,0.368
202507130300,0.368
202507130330,0.368
202507130400,0.368
202507130430,0.368
202507130500,0.368
202507130530,0.368
202507130600,0.368
202507130630,0.368
202507130700,0.368
202507130730,0.368
202507130800,0.368
202507130830,0.368
202507130900,0.368
202507130930,0.368
202507131000,0.368
202507131030,0.368
202507131100,0.368
202507131130,0.368
202507131200,0.368
202507131230,0.368
202507131300,0.368
202507131330,0.368
202507131400,0.368
202507131430,0.368
202507131500,0.368
202507131530,0.368
202507131600,0.368
202507131630,0.368
202507131700,0.368
202507131730,0.368
202507131800,0.368
202507131830,0.368
202507131900,0.368
202507131930,0.368
202507132000,0.368
202507132030,0.368
202507132100,0.368
202507132130,0.368
202507132200,0.368
202507132230,0.368
202507132300,0.368
202507132330,0.368
202507140000,0.368
202507140030,0.297
202507140100,0.297
202507140130,0.297
202507140200,0.297
202507140230,0.297
202507140300,0.297
202507140330,0.297
202507140400,0.297
202507140430,0.297
202507140500,0.297
202507140530,0.297
202507140600,0.297
202507140630,0.297
202507140700,0.297
202507140730,0.297
202507140800,0.297
202507140830,0.297
202507140900,0.297
202507140930,0.297
202507141000,0.297
202507141030,0.297
202507141100,0.297
202507141130,0.297
202507141200,0.297
202507141230,0.297
202507141300,0.297
202507141330,0.297
202507141400,0.297
202507141430,0.297
202507141500,0.297
202507141530,0.297
202507141600,0.297
202507141630,0.297
202507141700,0.297
202507141730,0.297
202507141800,0.297
202507141830,0.297
202507141900,0.297
202507141930,0.297
202507142000,0.297
202507142030,0.297
202507142100,0.297
202507142130,0.297
202507142200,0.297
202507142230,0.297
202507142300,0.297
202507142330,0.297
202507150000,0.297
202507150030,0.215
202507150100,0.215
202507150130,0.215
202507150200,0.215
202507150230,0.215
202507150300,0.215
202507150330,0.215
202507150400,0.215
202507150430,0.215
202507150500,0.215
202507150530,0.215
202507150600,0.215
202507150630,0.215
202507150700,0.215
202507150730,0.215
202507150800,0.215
202507150830,0.215
202507150900,0.215
202507150930,0.215
202507151000,0.215
202507151030,0.215
202507151100,0.215
202507151130,0.215
202507151200,0.215
202507151230,0.215
202507151300,0.215
202507151330,0.215
202507151400,0.215
202507151430,0.215
202507151500,0.215
202507151530,0.215
