  location                           N.1
         i                           127
         j                           328
  Num_Cell                          5729
    633600                         0.235
    635400                         0.235
    637200                         0.235
    639000                         0.235
    640800                         0.235
    642600                         0.235
    644400                         0.235
    646200                         0.235
    648000                         0.235
    649800                         0.235
    651600                         0.235
    653400                         0.235
    655200                         0.235
    657000                         0.235
    658800                         0.235
    660600                         0.235
    662400                         0.235
    664200                         0.235
    666000                         0.235
    667800                         0.235
    669600                         0.235
    671400                         0.235
    673200                         0.235
    675000                         0.235
    676800                         0.235
    678600                         0.235
    680400                         0.235
    682200                         0.235
    684000                         0.235
    685800                         0.235
    687600                         0.235
    689400                         0.235
    691200                         0.235
    693000                         0.986
    694800                         0.986
    696600                         0.986
    698400                         0.986
    700200                         0.986
    702000                         0.986
    703800                         0.986
    705600                         0.986
    707400                         0.986
    709200                         0.986
    711000                         0.986
    712800                         0.986
    714600                         0.986
    716400                         0.986
    718200                         0.986
    720000                         0.986
    721800                         0.986
    723600                         0.986
    725400                         0.986
    727200                         0.986
    729000                         0.986
    730800                         0.986
    732600                         0.986
    734400                         0.986
    736200                         0.986
    738000                         0.986
    739800                         0.986
    741600                         0.986
    743400                         0.986
    745200                         0.986
    747000                         0.986
    748800                         0.986
    750600                         0.986
    752400                         0.986
    754200                         0.986
    756000                         0.986
    757800                         0.986
    759600                         0.986
    761400                         0.986
    763200                         0.986
    765000                         0.986
    766800                         0.986
    768600                         0.986
    770400                         0.986
    772200                         0.986
    774000                         0.986
    775800                         0.986
    777600                         0.986
    779400                         0.700
    781200                         0.700
    783000                         0.700
    784800                         0.700
    786600                         0.700
    788400                         0.700
    790200                         0.700
    792000                         0.700
    793800                         0.700
    795600                         0.700
    797400                         0.700
    799200                         0.700
    801000                         0.700
    802800                         0.700
    804600                         0.700
    806400                         0.700
    808200                         0.700
    810000                         0.700
    811800                         0.700
    813600                         0.700
    815400                         0.700
    817200                         0.700
    819000                         0.700
    820800                         0.700
    822600                         0.700
    824400                         0.700
    826200                         0.700
    828000                         0.700
    829800                         0.700
    831600                         0.700
    833400                         0.700
    835200                         0.700
    837000                         0.700
    838800                         0.700
    840600                         0.700
    842400                         0.700
    844200                         0.700
    846000                         0.700
    847800                         0.700
    849600                         0.700
    851400                         0.700
    853200                         0.700
    855000                         0.700
    856800                         0.700
    858600                         0.700
    860400                         0.700
    862200                         0.700
    864000                         0.700
    865800                         0.577
    867600                         0.577
    869400                         0.577
    871200                         0.577
    873000                         0.577
    874800                         0.577
    876600                         0.577
    878400                         0.577
    880200                         0.577
    882000                         0.577
    883800                         0.577
    885600                         0.577
    887400                         0.577
    889200                         0.577
    891000                         0.577
    892800                         0.577
    894600                         0.577
    896400                         0.577
    898200                         0.577
    900000                         0.577
