Datetime,P00001,P00002,P00003,P00004,P00005,P00006,P00007,P00008,P00009,P00010,P00011,P00012,P00013,P00014,P00015,P00016
202507060000,0.683,0.696,0.362,0.346,0.372,0.598,0.687,0.667,0.59,0.572,0.552,0.609,0.422,0.418,0.325,0.325
202507060030,1.085,1.013,0.563,0.608,0.648,0.675,1.08,1.066,0.661,0.641,0.647,0.71,0.51,0.586,0.567,0.567
202507060100,1.085,1.013,0.563,0.608,0.648,0.675,1.08,1.066,0.661,0.641,0.647,0.71,0.51,0.586,0.567,0.567
202507060130,1.085,1.013,0.563,0.608,0.648,0.675,1.08,1.066,0.661,0.641,0.647,0.71,0.51,0.586,0.567,0.567
202507060200,1.085,1.013,0.563,0.608,0.648,0.675,1.08,1.066,0.661,0.641,0.647,0.71,0.51,0.586,0.567,0.567
202507060230,1.085,1.013,0.563,0.608,0.648,0.675,1.08,1.066,0.661,0.641,0.647,0.71,0.51,0.586,0.567,0.567
202507060300,1.085,1.013,0.563,0.608,0.648,0.675,1.08,1.066,0.661,0.641,0.647,0.71,0.51,0.586,0.567,0.567
202507060330,1.085,1.013,0.563,0.608,0.648,0.675,1.08,1.066,0.661,0.641,0.647,0.71,0.51,0.586,0.567,0.567
202507060400,1.085,1.013,0.563,0.608,0.648,0.675,1.08,1.066,0.661,0.641,0.647,0.71,0.51,0.586,0.567,0.567
202507060430,1.085,1.013,0.563,0.608,0.648,0.675,1.08,1.066,0.661,0.641,0.647,0.71,0.51,0.586,0.567,0.567
202507060500,1.085,1.013,0.563,0.608,0.648,0.675,1.08,1.066,0.661,0.641,0.647,0.71,0.51,0.586,0.567,0.567
202507060530,1.085,1.013,0.563,0.608,0.648,0.675,1.08,1.066,0.661,0.641,0.647,0.71,0.51,0.586,0.567,0.567
202507060600,1.085,1.013,0.563,0.608,0.648,0.675,1.08,1.066,0.661,0.641,0.647,0.71,0.51,0.586,0.567,0.567
202507060630,1.085,1.013,0.563,0.608,0.648,0.675,1.08,1.066,0.661,0.641,0.647,0.71,0.51,0.586,0.567,0.567
202507060700,1.085,1.013,0.563,0.608,0.648,0.675,1.08,1.066,0.661,0.641,0.647,0.71,0.51,0.586,0.567,0.567
202507060730,1.085,1.013,0.563,0.608,0.648,0.675,1.08,1.066,0.661,0.641,0.647,0.71,0.51,0.586,0.567,0.567
202507060800,1.085,1.013,0.563,0.608,0.648,0.675,1.08,1.066,0.661,0.641,0.647,0.71,0.51,0.586,0.567,0.567
202507060830,1.085,1.013,0.563,0.608,0.648,0.675,1.08,1.066,0.661,0.641,0.647,0.71,0.51,0.586,0.567,0.567
