Datetime,WtMean
202208070010,127.12727999999998
202208070020,127.33616940590966
202208070030,127.59667230010403
202208070040,127.9102856493813
202208070050,128.27549956958634
202208070100,128.68956764598383
202208070110,129.14936225702405
202208070120,129.65176336359286
202208070130,130.19384120043102
202208070140,130.77294152611577
202208070150,131.38667271263017
202208070200,132.03282392576304
202208070210,132.70932090717125
202208070220,133.414181247478
202208070230,134.1454436514796
202208070240,134.90123981587772
202208070250,135.6797699810089
202208070300,136.47939963182966
202208070310,137.29871963211258
202208070320,138.13660090230138
202208070330,138.99223015328755
202208070340,139.8651566475223
202208070350,140.75524528959158
202208070400,141.66264472874332
202208070410,142.58770321420715
202208070420,143.53085208208864
202208070430,144.49247331347613
202208070440,145.4727967752863
202208070450,146.4717392400241
202208070500,147.48885010374343
202208070510,148.52321174060074
202208070520,149.57346042458403
202208070530,150.63780055791645
202208070540,151.71407797820635
202208070550,152.79989010009496
202208070600,153.89270656540683
202208070610,154.99001689852074
202208070620,156.0894361968422
202208070630,157.18884073448206
202208070640,158.2864084539033
202208070650,159.38068382402474
202208070700,160.4705904881516
202208070710,161.5554269226318
202208070720,162.63483447204342
202208070730,163.70872836526217
202208070740,164.77728086934536
202208070750,165.8408340295441
202208070800,166.89986194904077
202208070810,167.95491158274885
202208070820,169.00657146215465
202208070830,170.05542690465163
202208070840,171.10206296469977
202208070850,172.14700840051117
202208070900,173.1907712592649
202208070910,174.233815414462
202208070920,175.27657246790866
202208070930,176.31945217470218
202208070940,177.36286618516417
202208070950,178.4072175178703
202208071000,179.4529516977011
202208071010,180.50054696780578
202208071020,181.5505390603055
202208071030,182.60354444571652
202208071040,183.66025298747013
202208071050,184.7214606550531
202208071100,185.78807051822432
202208071110,186.86109288219757
202208071120,187.94166144414933
202208071130,189.03102623738758
202208071140,190.13057720114696
202208071150,191.241805241588
202208071200,192.36633461928133
202208071210,193.50589419001855
202208071220,194.66233525511623
202208071230,195.8375869848098
202208071240,197.03368303702754
202208071250,198.2527326155711
202208071300,199.49690023408485
202208071310,200.7684049633554
202208071320,202.06950033010907
202208071330,203.40245239186794
202208071340,204.76953376033376
202208071350,206.1729907439705
202208071400,207.61506316990088
202208071410,209.09792364535235
202208071420,210.6236934494416
202208071430,212.19443947995538
202208071440,213.812123211105
202208071450,215.478652177447
202208071500,217.19581838054455
202208071510,218.9653304491966
202208071520,220.7887955604686
202208071530,222.66774027119374
202208071540,224.60358093856553
202208071550,226.59767101554414
202208071600,228.6512613321993
202208071610,230.7655398475208
202208071620,232.94161060517047
202208071630,235.18053089190735
202208071640,237.4832812193139
202208071650,239.85079586577012
202208071700,242.28395017870116
202208071710,244.7835838312092
202208071720,247.3504641586381
202208071730,249.98533971012537
202208071740,252.6888829459424
202208071750,255.46172285729438
202208071800,258.30442865723535
202208071810,261.2174942984418
202208071820,264.2013505995239
202208071830,267.25633929082613
202208071840,270.382721188062
202208071850,273.5806672862333
202208071900,276.850258706424
202208071910,280.19147921661863
202208071920,283.6042072693991
202208071930,287.0882383844975
202208071940,290.64326377595705
202208071950,294.26889417341636
202208072000,297.96466351986385
202208072010,301.73002866490015
202208072020,305.5644086200111
202208072030,309.46716864148726
202208072040,313.43766485805793
202208072050,317.47524749885935
202208072100,321.5792829535567
202208072110,325.74917541844513
202208072120,329.9843731598194
202208072130,334.2843815100545
202208072140,338.64880034709853
202208072150,343.0773159202324
202208072200,347.56965511931884
202208072210,352.1256317364753
202208072220,356.7450719000677
202208072230,361.4279283291182
202208072240,366.1739250934204
202208072250,370.9828816895605
202208072300,375.85431067390954
202208072310,380.78771612555335
202208072320,385.78239946308014
202208072330,390.83729603866834
202208072340,395.95172347182864
202208072350,401.12414606588516
202208080000,406.3536376545112
202208080010,411.6389723585149
202208080020,416.95278769128873
202208080030,422.2917064149061
202208080040,427.6574617675166
202208080050,433.05250503737096
202208080100,438.47889634296223
202208080110,443.93725567337486
202208080120,449.42844651100853
202208080130,454.9528441015148
202208080140,460.5098625249682
202208080150,466.0993108470163
202208080200,471.7206310408936
202208080210,477.3725074085861
202208080220,483.05326618084445
202208080230,488.7606661010485
202208080240,494.49224416897124
202208080250,500.24528576760247
202208080300,506.0168530979178
202208080310,511.80416308734885
202208080320,517.6045411966152
202208080330,523.415324287495
202208080340,529.2340312681831
202208080350,535.0578685866222
202208080400,540.883600945955
202208080410,546.7072808637394
202208080420,552.5241618686044
202208080430,558.3292634934387
202208080440,564.1177563970816
202208080450,569.8851375824222
202208080500,575.6291837502081
202208080510,581.3471301192224
202208080520,587.0370664692822
202208080530,592.6963774023825
202208080540,598.3224888446637
202208080550,603.9108660276868
202208080600,609.4583398627857
202208080610,614.9591291591149
202208080620,620.4075749778256
202208080630,625.7978019807132
202208080640,631.1248210965127
202208080650,636.383813943459
202208080700,641.5731820985638
202208080710,646.6919852079699
202208080720,651.740069872743
202208080730,656.7182406456895
202208080740,661.627861637197
202208080750,666.4687741257477
202208080800,671.2427400651017
202208080810,675.9475637207174
202208080820,680.5826578781885
202208080830,685.1424809488451
202208080840,689.6243575374692
202208080850,694.0227178921292
202208080900,698.3338012012365
202208080910,702.5540379338092
202208080920,706.6786510612216
202208080930,710.7030178917992
202208080940,714.622869135801
202208080950,718.43677206868
202208081000,722.1456719400319
202208081010,725.7532080890562
202208081020,729.2641002374933
202208081030,732.6810386523055
202208081040,736.0051211902868
202208081050,739.2375093636476
202208081100,742.3781669322669
202208081110,745.4287144351815
202208081120,748.391202358852
202208081130,751.2675548487382
202208081140,754.059783928013
202208081150,756.7686875758112
202208081200,759.3968822883114
202208081210,761.9464740447678
202208081220,764.4198137259151
202208081230,766.8190533493631
202208081240,769.1458035089894
202208081250,771.4006456851195
202208081300,773.5832419101616
202208081310,775.6957212144213
202208081320,777.739429700936
202208081330,779.7154490005178
202208081340,781.6245884044113
202208081350,783.4682340460936
202208081400,785.2489967956144
202208081410,786.9726168893851
202208081420,788.6488965639884
202208081430,790.2899883762484
202208081440,791.908539776906
202208081450,793.5124811778142
202208081500,795.1100598069634
202208081510,796.7041470097658
202208081520,798.2947709679835
202208081530,799.8777863726992
202208081540,801.4448972978287
202208081550,802.9864419807062
202208081600,804.4935179918645
202208081610,805.9604867816778
202208081620,807.3846089750621
202208081630,808.7663602486115
