ncols,9,,,,,,,
nrows,13,,,,,,,
50347090,50347091,50347092.0,50347093.0,50347094.0,50347095.0,50347096.0,50347097.0,50347098.0
50347080,50347081,50347082.0,50347083.0,50347084.0,50347085.0,50347086.0,50347087.0,50347088.0
50347070,50347071,50347072.0,50347073.0,50347074.0,50347075.0,50347076.0,50347077.0,50347078.0
50347060,50347061,50347062.0,50347063.0,50347064.0,50347065.0,50347066.0,50347067.0,50347068.0
50347050,50347051,50347052.0,50347053.0,50347054.0,50347055.0,50347056.0,50347057.0,50347058.0
50347040,50347041,50347042.0,50347043.0,50347044.0,50347045.0,50347046.0,50347047.0,50347048.0
50347030,50347031,50347032.0,50347033.0,50347034.0,50347035.0,50347036.0,50347037.0,50347038.0
50347020,50347021,50347022.0,50347023.0,50347024.0,50347025.0,50347026.0,50347027.0,50347028.0
50347010,50347011,50347012.0,50347013.0,50347014.0,50347015.0,50347016.0,50347017.0,50347018.0
50347000,50347001,50347002.0,50347003.0,50347004.0,50347005.0,50347006.0,50347007.0,50347008.0
50346990,50346991,50346992.0,50346993.0,50346994.0,50346995.0,50346996.0,50346997.0,50346998.0
50346980,50346981,50346982.0,50346983.0,50346984.0,50346985.0,50346986.0,50346987.0,50346988.0
50346970,50346971,50346972.0,50346973.0,50346974.0,50346975.0,50346976.0,50346977.0,50346978.0
