Datetime,P00001,P00002,P00003,P00004,P00005,P00006,P00007,P00008,P00009,P00010,P00011,P00012,P00013,P00014,P00015,P00016
202508170010,326.49211,326.49211,326.49211,326.49211,326.49211,326.49211,326.49211,326.49211,326.49211,326.49211,326.49211,326.49211,326.49211,326.49211,326.49211,326.49211
202508170020,326.23291,326.25378,326.24028,326.25399,326.25389,326.23963,326.25389,326.25389,326.25389,326.23291,326.23291,326.25389,326.24596,326.25389,326.23284,326.25389
202508170030,325.97723,326.04098,326.00024,326.04334,326.04302,325.99461,326.04302,326.04302,326.0428,325.97723,325.97723,326.04302,326.01805,326.04302,325.97701,326.04302
202508170040,325.72386,325.84921,325.77093,325.85946,325.85887,325.75532,325.8589,325.85881,325.857,325.72386,325.72386,325.85887,325.80747,325.85887,325.72347,325.8589
202508170050,325.47151,325.67318,325.55098,325.70094,325.69992,325.52017,325.70016,325.69955,325.69284,325.47151,325.47144,325.69992,325.61277,325.69992,325.47096,325.70016
202508170100,325.21947,325.50873,325.33954,325.56667,325.56464,325.28824,325.5657,325.56334,325.54656,325.21947,325.21914,325.56464,325.43275,325.56464,325.21881,325.5657
202508170110,324.96759,325.35297,325.13621,325.45582,325.45144,325.05912,325.45472,325.44818,325.41487,324.9676,324.96655,325.45144,325.26649,325.45144,324.96685,325.45472
202508170120,324.71599,325.2038,324.94085,325.36772,325.35861,324.83273,325.36649,325.35202,325.295,324.71602,324.71351,325.35861,325.11312,325.35861,324.71523,325.36654
202508170130,324.46487,325.05962,324.75338,325.30168,325.28429,324.60903,325.30029,325.27275,325.18459,324.46498,324.45989,325.28429,324.97174,325.28429,324.46416,325.30044
202508170140,324.21438,324.91909,324.57364,325.25691,325.22653,324.38794,325.25518,325.20831,325.08157,324.21468,324.20553,325.22653,324.84139,325.22653,324.21385,325.25565
202508170150,323.96453,324.78105,324.40141,325.23248,325.1833,324.1693,325.23004,325.15667,324.98414,323.96522,323.95023,325.18328,324.72103,325.1833,323.96442,325.2312
202508170200,323.71524,324.64449,324.23634,325.2273,325.15257,323.95285,325.22348,325.1159,324.89068,323.71665,323.69376,325.15254,324.60959,325.15257,323.71589,325.22603
202508170210,323.46634,324.50854,324.07803,325.24022,325.1324,323.73831,325.23395,325.0842,324.7998,323.46893,323.43585,325.13234,324.50599,325.1324,323.46824,325.23894
202508170220,323.21757,324.37254,323.92604,325.27005,325.12099,323.52535,325.25982,325.05997,324.71033,323.22198,323.17627,325.12086,324.40924,325.12099,323.2214,325.26875
202508170230,322.96867,324.23596,323.77996,325.31563,325.11673,323.31366,325.29939,325.04179,324.62134,322.97567,322.91482,325.1165,324.31841,325.11673,322.97529,325.31429
