Datetime,P00001,P00002,P00003,P00004,P00005,P00006,P00007,P00008,P00009,P00010,P00011,P00012,P00013,P00014,P00015,P00016
202208190010,182.16391,182.16391,182.16391,182.16391,182.16391,182.16391,182.16391,182.16391,182.16391,182.16391,182.16391,182.16391,182.16391,182.16391,182.16391,182.16391
202208190020,182.13463,182.13256,182.14121,182.14121,182.13463,182.13463,182.13954,182.1412,182.13348,182.13338,182.13955,182.14086,182.13256,182.13463,182.14121,182.1321
202208190030,182.10388,182.09747,182.12453,182.12453,182.10388,182.10388,182.11924,182.12434,182.10041,182.10011,182.11927,182.12311,182.09747,182.10388,182.12453,182.09606
202208190040,182.07146,182.05841,182.11395,182.11395,182.07146,182.07146,182.10301,182.11311,182.0648,182.0639,182.10306,182.11052,182.05841,182.07144,182.11395,182.05556
202208190050,182.03721,182.01529,182.10931,182.10931,182.03721,182.03721,182.09067,182.10709,182.02704,182.02463,182.09074,182.10279,182.01529,182.0371,182.10931,182.01054
202208190100,182.00107,181.96814,182.11047,182.11047,182.00107,182.00107,182.08208,182.10592,181.98771,181.98228,182.08217,182.0997,181.96814,182.00074,182.11047,181.96111
202208190110,181.96307,181.91703,182.11733,182.11733,181.96307,181.96307,182.07717,182.10942,181.94756,181.9369,182.07728,182.10109,181.91703,181.96227,182.11732,181.9074
202208190120,181.92325,181.86208,182.1298,182.1298,181.92325,181.92325,182.07588,182.1175,181.90733,181.88855,182.07599,182.10683,181.86208,181.92163,182.12978,181.8496
202208190130,181.88165,181.8034,182.14779,182.14779,181.88165,181.88165,182.07815,182.13009,181.86777,181.83732,182.07827,182.11679,181.8034,181.87877,182.14774,181.7879
202208190140,181.83834,181.74109,182.17119,182.17119,181.83834,181.83834,182.08391,182.14713,181.82954,181.78329,182.08404,182.13084,181.74109,181.83368,182.17107,181.72249
202208190150,181.79338,181.6753,182.19987,182.19987,181.79338,181.79337,182.0931,182.16856,181.79319,181.72655,182.09322,182.14883,181.6753,181.78634,182.19962,181.65353
202208190200,181.74685,181.60614,182.23369,182.23369,181.74685,181.74682,182.10562,182.19429,181.7592,181.66721,182.10574,182.17062,181.60614,181.73676,182.23321,181.58123
202208190210,181.69881,181.53378,182.2725,182.2725,181.69881,181.69875,182.12138,182.22421,181.72791,181.60537,182.1215,182.19605,181.53378,181.68496,182.27165,181.50576
202208190220,181.64936,181.45836,182.31614,182.31614,181.64936,181.64924,182.14031,182.25822,181.69956,181.54116,182.14042,182.22497,181.45835,181.63099,182.31474,181.42732
202208190230,181.59858,181.38004,182.36444,182.36445,181.59859,181.59835,182.16229,182.29618,181.6743,181.4747,182.1624,182.25724,181.38003,181.57489,182.36225,181.34609
202208190240,181.54656,181.29897,182.41725,182.41725,181.54657,181.54616,182.18724,182.33794,181.65222,181.40611,182.18734,182.29272,181.29896,181.5167,182.41398,181.26226
202208190250,181.49338,181.21532,182.47439,182.4744,181.49339,181.49271,182.21507,182.38338,181.6333,181.33551,182.21515,182.33128,181.2153,181.45648,182.46971,181.176
202208190300,181.43909,181.12921,182.53571,182.53572,181.43913,181.43804,182.24568,182.43233,181.61751,181.263,182.24574,182.37281,181.12917,181.39428,182.52922,181.08745
202208190310,181.38377,181.04076,182.60106,182.60108,181.38383,181.3822,182.27898,182.48468,181.60478,181.18868,182.27902,182.4172,181.0407,181.33013,182.59233,180.99676
202208190320,181.32746,180.95008,182.6703,182.67033,181.32755,181.32518,182.31489,182.54028,181.59499,181.11262,182.3149,182.46435,180.94999,181.26407,182.65884,180.90404
202208190330,181.27017,180.85726,182.74331,182.74334,181.27033,181.26699,182.35333,182.59903,181.58803,181.03489,182.35331,182.51419,180.85711,181.19611,182.72858,180.80938
202208190340,181.21193,180.76234,182.81995,182.81999,181.21217,181.20761,182.39424,182.66082,181.58378,180.95553,182.39417,182.56663,180.76213,181.12626,182.80141,180.71286
202208190350,181.15273,180.66539,182.90013,182.90018,181.15309,181.14703,182.43754,182.72554,181.58211,180.87457,182.43741,182.62161,180.66509,181.05454,182.87718,180.61454
202208190400,181.09255,180.56643,182.98373,182.9838,181.09307,181.08518,182.48318,182.79313,181.58292,180.79202,182.48297,182.67908,180.56602,180.98092,182.95575,180.51445
202208190410,181.03137,180.46549,183.07068,183.07075,181.0321,181.02204,182.53109,182.86349,181.58608,180.7079,182.53079,182.73897,180.46493,180.90539,183.03703,180.41261
202208190420,180.96914,180.36257,183.16087,183.16095,180.97015,180.95755,182.58122,182.93657,181.59151,180.62221,182.58082,182.80123,180.36183,180.82794,183.12089,180.30905
202208190430,180.90582,180.25767,183.25421,183.25431,180.90718,180.89166,182.63352,183.01228,181.5991,180.53493,182.633,182.86583,180.25671,180.74854,183.20724,180.20378
202208190440,180.84135,180.15079,183.35062,183.35072,180.84314,180.82431,182.68793,183.09058,181.60878,180.44606,182.68729,182.9327,180.14957,180.66718,183.29599,180.09684
202208190450,180.77569,180.04192,183.45,183.45009,180.77801,180.75545,182.74442,183.1714,181.62047,180.35559,182.74363,183.00179,180.0404,180.58383,183.38704,179.98825
202208190500,180.70879,179.93106,183.55224,183.55231,180.71173,180.68502,182.80292,183.25466,181.6341,180.26351,182.80197,183.07304,179.92919,180.49849,183.48029,179.87803
202208190510,180.64058,179.81823,183.65725,183.65728,180.64425,180.613,182.86339,183.34032,181.6496,180.16983,182.86226,183.14639,179.81595,180.41114,183.57566,179.76615
202208190520,180.57103,179.70343,183.76491,183.76487,180.57555,180.53935,182.92577,183.42828,181.66691,180.07455,182.92446,183.22178,179.7007,180.3218,183.67304,179.65258
202208190530,180.50009,179.58668,183.87508,183.87494,180.50558,180.46403,182.99001,183.51847,181.68598,179.97768,182.98851,183.29912,179.58344,180.23046,183.77232,179.53731
