Datetime,WtMean
202507250010,1036.64301
202507250020,1030.6478000001903
202507250030,1024.669693504375
202507250040,1018.7738103760513
202507250050,1013.0131770645255
202507250100,1007.4139106972519
202507250110,1001.9701801578263
202507250120,996.6303899205584
202507250130,991.3034749613422
202507250140,985.8998846745455
202507250150,980.3775334831191
202507250200,974.7510043396013
202507250210,969.066063100092
202507250220,963.3766605755815
202507250230,957.7409892835656
202507250240,952.2269496758877
202507250250,946.9090679869649
202507250300,941.8559575712598
202507250310,937.1145372794971
202507250320,932.7029545679733
202507250330,928.6124317508644
202507250340,924.8142934384917
202507250350,921.2699133976607
202507250400,917.9407148697608
202507250410,914.7948117692807
202507250420,911.8053205458425
202507250430,908.944443845895
202507250440,906.1806085622178
202507250450,903.4812565590238
202507250500,900.8158810187609
202507250510,898.1592871076716
202507250520,895.4950323278536
202507250530,892.8203704815814
202507250540,890.145691748502
202507250550,887.4890516220216
202507250600,884.8668485470305
202507250610,882.2886282678074
202507250620,879.7568487790985
202507250630,877.2701913774466
202507250640,874.8248150505127
202507250650,872.4158347060396
202507250700,870.0419354892954
202507250710,867.7075858729884
202507250720,865.4192250636236
202507250730,863.1766341847606
202507250740,860.973660515265
202507250750,858.8055692954748
202507250800,856.6749039286402
202507250810,854.5905787681522
202507250820,852.5657275777079
202507250830,850.616665200522
202507250840,848.760206761678
202507250850,847.0093787604152
202507250900,845.3710126978866
202507250910,843.8459170087001
202507250920,842.4295444253843
202507250930,841.1119061157124
202507250940,839.8809554166515
202507250950,838.7277461301696
202507251000,837.6495564937117
202507251010,836.6478331723852
202507251020,835.7247420037085
202507251030,834.8819565334401
202507251040,834.1200315895978
202507251050,833.4406535191554
202507251100,832.8456916157637
202507251110,832.3348393107159
202507251120,831.9034479511274
202507251130,831.5435768622647
202507251140,831.2470524153795
202507251150,831.0080862793759
202507251200,830.825695197676
202507251210,830.7032361184063
202507251220,830.6449815152133
202507251230,830.6515039717722
202507251240,830.7182214994322
202507251250,830.8369894515678
202507251300,830.9997231580305
202507251310,831.2022591052511
202507251320,831.4465013134326
202507251330,831.7376352985286
202507251340,832.0787946983826
202507251350,832.4675700988859
202507251400,832.8964012405767
202507251410,833.3572886872122
202507251420,833.8453200517541
202507251430,834.3586987997378
202507251440,834.8958007249851
202507251450,835.4548397855325
202507251500,836.0351699177287
202507251510,836.6391661699704
202507251520,837.2718377584165
202507251530,837.9401736047947
202507251540,838.6504785281594
202507251550,839.4055927480538
202507251600,840.2027233975191
202507251610,841.0344275493447
202507251620,841.8897187497085
202507251630,842.7568819657532
202507251640,843.6266066233635
202507251650,844.4940756582317
202507251700,845.3596100631953
202507251710,846.2275222973377
202507251720,847.103781746867
202507251730,847.992061148506
202507251740,848.8903471893384
202507251750,849.7886094142973
202507251800,850.6708971879902
202507251810,851.5192011293475
202507251820,852.3197437227449
202507251830,853.0695590559667
202507251840,853.7799418223391
202507251850,854.4735323227625
202507251900,855.1780013008847
202507251910,855.920114048664
202507251920,856.7205822767215
202507251930,857.5896142583496
202507251940,858.5256953229447
202507251950,859.5186809993893
202507252000,860.5525461340828
202507252010,861.6070061500952
